Age bin,CO2,pH,Ca,Na,Mg,SO4,K,Cl,Carb_alk,DIC_surf,SI_cal
550,4980,7.5394,11.5,407.8,34.9,16.9,11,566,7913.608,7879.25,0.776007793
530,6003,7.31446,25.8,407.8,32.8,11.6,11,566,5519.2094,5653.54,0.780117765
510,6238,7.29566,26.3,411.9,32.8,9.9,11,566,5515.5518,5664.33,0.761790315
490,4821,7.36599,24.7,418.5,34.5,12.3,11,566,5039.646,5127.18,0.772914056
470,4918,7.40023,25,423.6,34.9,12.3,11,566,5607.58,5679.96,0.851878152
450,4407,7.39821,25,428.5,35.5,12,11,566,4990.904,5056.64,0.799384666
430,4732,7.36987,25.3,433.8,36.9,12,11,566,4998.7542,5083.02,0.790118312
410,3900,7.4421,24,439.5,38.7,14,11,566,4873.844,4910.9,0.812984842
390,2701,7.54979,22.6,443.3,39.5,14,11,566,4406.702,4382.04,0.832605979
370,2398,7.54775,22.8,447.5,40.8,14,11,566,3886.844,3866.06,0.795540788
350,1037,7.72723,23.5,452.8,43.2,13.9,11,566,2637.304,2565.02,0.792065846
330,518,8.00422,11.7,456.4,46.6,16.9,11,566,2724.048,2541.67,0.799190244
310,346,8.10981,16,457.6,47.9,19.8,11,566,2411.626,2206.22,0.922702108
290,1232,7.85074,19,456.4,47.9,18.6,11,566,4274.658,4087.36,1.028314992
270,616,8.0682,13,455.3,47.9,19.8,11,566,3663.956,3379.26,1.012516656
250,1437,7.88065,14.2,452.8,47.9,20.5,11,566,5360.634,5103.1,1.019938386
230,1383,7.8459,14.2,450.4,46.6,19.3,11,566,4749.968,4545.09,0.937145121
210,2204,7.75083,15.8,449.2,45.6,20,11,566,5914.342,5734.42,1.006020823
190,3803,7.52878,13.2,447.2,42.8,19.3,11,566,6727.401001,6603.168945,0.84509804
170,1750,7.63929,18.2,447.2,39.8,16.9,11,566,3545.504,3487.6,0.732318958
150,1750,7.62947,19.1,447.2,37.3,16.2,11,566,3468.034,3415.57,0.73710673
130,1134,7.64672,25.4,448.5,33.5,12.3,11,566,2368.6606,2327.94,0.706280708
110,2258,7.48147,27,458,34.5,10.3,11,566,3132.9676,3141.81,0.707833228
90,924,7.67674,26.6,465.7,37.7,10.6,11,566,2066.5448,2023.46,0.707605089
70,816,7.73759,25,475.3,42,12.6,11,566,2131.516,2070.85,0.742496536
50,621,7.85497,21.5,482.1,46.6,15.1,11,566,2120.324,2026.9,0.768465681
30,368,8.0011,17.6,486.3,51.1,17.7,11,566,1847.404,1725.52,0.766597234
10,276,8.10354,13,488.5,54.6,22.1,11,566,1876.898,1720.06,0.748608934
0,278,8.17219,10.7,485,55.1,28,11,566,2238.556,2022.41,0.733678656
