Name,Variable,Level,pH,Ca,Na,Mg,SO4,K,Cl,Carb_alk,DIC_surf,SI_cal,T,
Norm,NA,NA,8,19.9,449.1,40.8,15.8,11,566,4000.44791,3932.080998,0.816804367,40,6.558497643
Na_Max,Na,Top,8,19.9,488.5,40.8,15.8,11,566,4000.44791,3932.080998,0.816804367,40,6.558497643
Na_Min,Na,Bottom,8,19.9,407.8,40.8,15.8,11,566,4000.44791,3932.080998,0.816804367,40,6.558497643
Mg_max,Mg,Top,8,19.9,449.1,55.1,15.8,11,566,4000.44791,3932.080998,0.816804367,40,6.558497643
Mg_min,Mg,Bottom,8,19.9,449.1,32.8,15.8,11,566,4000.44791,3932.080998,0.816804367,40,6.558497643
SO4_max,SO4,Top,8,19.9,449.1,40.8,28,11,566,4000.44791,3932.080998,0.816804367,40,6.558497643
SO4_min,SO4,Bottom,8,19.9,449.1,40.8,9.9,11,566,4000.44791,3932.080998,0.816804367,40,6.558497643
Alk_max,Alkalinity,Top,8,19.9,449.1,40.8,15.8,11,566,7913.608,3932.080998,0.816804367,40,6.558497643
Alk_min,Alkalinity,Bottom,8,19.9,449.1,40.8,15.8,11,566,1876.898,3932.080998,0.816804367,40,6.558497643
Omega_max,Omega,Top,8,19.9,449.1,40.8,15.8,11,566,4000.44791,3932.080998,1.028314992,40,10.6737
Omega_min,Omega,Bottom,8,19.9,449.1,40.8,15.8,11,566,4000.44791,3932.080998,0.706280708,40,5.084879996
T_max,T,Top,8,19.9,449.1,40.8,15.8,11,566,4000.44791,3932.080998,0.816804367,50,6.558497643
T_min,T,Bottom,8,19.9,449.1,40.8,15.8,11,566,4000.44791,3932.080998,0.816804367,30,6.558497643
